,9_OBCI_Dejittered
0,0.33045139382045363
1,0.3245839045167713
2,0.3007260181412903
3,0.30481861371526975
4,0.3049480183746027
5,0.30306001998530974
6,0.30317732464470737
7,0.3032956293039888
8,0.30342633396344354
9,0.30354083862266634
10,0.3036641432820488
11,0.3057933509899158
12,0.305918055649272
13,0.3099977512231362
14,0.3121443589311639
15,0.3082471574932697
16,0.3123387530672517
17,0.3084483516297496
18,0.31253724720374976
19,0.3106583488145134
20,0.30675844737697844
21,0.31486474904772876
22,0.3109663476099058
23,0.31109895226950357
24,0.30920535388031567
25,0.3093148585395511
26,0.3094488631988952
27,0.3095633678582317
28,0.30969137251759093
29,0.3098084771768299
30,0.3099323818362336
31,0.3120555895441157
32,0.31217549420341584
33,0.31628318977743675
34,0.3184070974853057
35,0.31450589604742163
36,0.3186051916214865
37,0.31470659018395963
38,0.31281969179462976
39,0.3169221873686183
40,0.31704379202801647
41,0.3211374876020727
42,0.3212513922612743
43,0.31937069387208794
44,0.3194922985313724
45,0.31960570319074577
46,0.31973320785004944
47,0.3198516125092965
48,0.32197662021724227
49,0.32210782487652523
50,0.31821372343904386
51,0.32034673114685575
52,0.3244355267206629
53,0.32053532528300366
54,0.32462382085702757
55,0.32074011941926983
56,0.32483931499325536
57,0.3209362135557967
58,0.32504320912971707
59,0.3231467107405024
60,0.3272383063143707
61,0.3273684109739179
62,0.32347320953601866
63,0.325603817243973
64,0.3216986158063264
65,0.3257977113803463
66,0.329893906954112
67,0.3280056085650358
68,0.32411100712738516
69,0.3302119057498203
70,0.3283306073606127
71,0.32644440897161076
72,0.32456381058239003
73,0.330667409204807
74,0.3307905138640308
75,0.3288961154750041
76,0.3310153231828963
77,0.3291302247936301
78,0.33323592036765604
79,0.33335132502702436
80,0.3294547235892651
81,0.3295701282485197
82,0.3356851268711125
83,0.3358116315304187
84,0.335925336189689
85,0.336040640848978
86,0.33018315154538413
87,0.33029665620460946
88,0.3344004517786061
89,0.3365267594862189
90,0.33263345804880373
91,0.33673315362273115
92,0.33282015218492234
93,0.33893705080754444
94,0.3350349493698559
95,0.3351580540291934
96,0.33925834960302836
97,0.3333920602993885
98,0.33749235587333715
99,0.34158105144729234
100,0.33769675000962707
101,0.341788545583654
102,0.33789794414610697
103,0.3359944457566826
104,0.3401054413308202
105,0.3382165429416091
106,0.3443188415641316
107,0.3424259431748169
108,0.34254914783423374
109,0.3406645494449094
110,0.3427903571528077
111,0.3408954587637254
112,0.3449996543375846
113,0.345123258996864
114,0.3412201575592917
115,0.3413454622186691
116,0.3394658638294459
117,0.34756596550050745
118,0.34769387015978737
119,0.3478161748191724
120,0.3479285794784346
121,0.34805368413776705
122,0.3421896948339054
123,0.34231229949352837
124,0.346417795067282
125,0.3485340027749544
126,0.34464050133749424
127,0.3487456969114646
128,0.34484489547378416
129,0.3509465940962855
130,0.3470539926585161
131,0.34718059731778794
132,0.35127129289185177
133,0.34541520358811795
134,0.34951059916215854
135,0.34561339772437805
136,0.3497156932984353
137,0.347824194909208
138,0.3519076904830172
139,0.35001989209376916
140,0.3481403937048526
141,0.35423649232723164
142,0.35235789393811956
143,0.3504704955488478
144,0.3485859971597165
145,0.3546822957822542
146,0.35279149739301374
147,0.35090879900371874
148,0.3510260036633781
149,0.3491454052740437
150,0.3512686129819258
151,0.34938131459273336
152,0.35348231016666887
153,0.35360751482608066
154,0.35769251040005656
155,0.35782411505942946
156,0.3559343166701865
157,0.3560515213293911
158,0.3561737259888105
159,0.35629673064818235
160,0.3584264383559912
161,0.35854804301538934
162,0.34665644456595146
163,0.3487810522738073
164,0.3528841478478171
165,0.34898984641029074
166,0.3530824419840428
167,0.3491962405465756
168,0.35329063612050504
169,0.3493848346827235
170,0.3475016362938277
171,0.35159393186768284
172,0.34970643347844543
173,0.35581053210080427
174,0.3539320337117715
175,0.35203133532252195
176,0.3501531369333861
177,0.35626393555583036
178,0.3543600371666571
179,0.3524809387776031
180,0.3526052434369831
181,0.3507234450478336
182,0.3528428527555434
183,0.3589434513778542
184,0.3550496499402698
185,0.35516385459970934
186,0.35926565017371104
187,0.35938235483297376
188,0.357500156443848
189,0.357622461102892
190,0.35775116576246546
191,0.3578622704217196
192,0.3599949781294072
193,0.36011188278894224
194,0.3562228813514139
195,0.3583383890590994
196,0.36244428463328404
197,0.34256628917228227
198,0.33866718773447246
199,0.3347671862970856
200,0.3328885879077461
201,0.33697688348183874
202,0.3371016881410469
203,0.34121218371501527
204,0.34132368837413196
205,0.33943308998527755
206,0.33954839464445286
207,0.33966589930378177
208,0.33980040396318145
209,0.3419301116709903
210,0.34205391633054205
211,0.33815211489263675
212,0.3402806226006305
213,0.3363753211629046
214,0.3404809167368512
215,0.34457461231090747
216,0.34068221087318307
217,0.3447884064471509
218,0.34088360500959425
219,0.3449722005834701
220,0.34308460219426706
221,0.33919560075628397
222,0.34731770242751736
223,0.3434150009898076
224,0.34554130869764776
225,0.34164490726016083
226,0.3457474028341494
227,0.3418489013963608
228,0.34794880001891215
229,0.3360552015697067
230,0.3361935062289376
231,0.34028600180295143
232,0.3403914064622313
233,0.33851850807309347
234,0.33064361572064627
235,0.33076982038005553
236,0.3308912250395224
237,0.33101222969867194
238,0.3331251374065687
239,0.3332485420658031
240,0.32935334062835864
241,0.3314777483360558
242,0.33558684391005045
243,0.3316898424725423
244,0.3357785380464975
245,0.3339055396572803
246,0.3379917352310713
247,0.3381140398903426
248,0.33421703845306183
249,0.3343469431124504
250,0.3324556447230407
251,0.3325761493824757
252,0.3406802510532998
253,0.3408081557126934
254,0.3409311603718379
255,0.34104966503150536
256,0.3351827757276169
257,0.33530838038677757
258,0.33940907596092984
259,0.34152908366877455
260,0.3376420822310138
261,0.34173687780503315
262,0.32185318234405713
263,0.32795798096640283
264,0.3240648795290326
265,0.32418458418851515
266,0.3282835797624557
267,0.32840168442180584
268,0.3265086860324118
269,0.32864559374024793
270,0.32675069535116563
271,0.3228534939137262
272,0.3289606925359294
273,0.32706779414684206
274,0.3251924957576193
275,0.32329519736822476
276,0.32941049599094185
277,0.3195218005901097
278,0.31763680220092283
279,0.32374230082359645
280,0.32185070243417613
281,0.3199590040451312
282,0.3180846056561677
283,0.3182055103152379
284,0.32431100893791154
285,0.31843761963409634
286,0.3085574242331859
287,0.30467192279547817
288,0.3107622214179173
289,0.3088947230287431
290,0.3069982246395284
291,0.3071155292991534
292,0.3052255309098655
293,0.3053535355693384
294,0.30546914022852434
295,0.3055964448878967
296,0.3057159495472206
297,0.3078476572550244
298,0.3079667619144857
299,0.3120575574882878
300,0.3121755621475586
301,0.31029306375830856
302,0.31041436841792347
303,0.3105355730772317
304,0.310652677736698
305,0.3127884854441163
306,0.3128995901035978
307,0.3090191886658431
308,0.3111410963740582
309,0.3152420919479937
310,0.3113371905101303
311,0.31542918608397486
312,0.31355238769492644
313,0.31764728326879776
314,0.3157591848798802
315,0.3138746864908626
316,0.3119732881013988
317,0.3121075927606398
318,0.31819969138314264
319,0.3123449020795306
320,0.31844850070183384
321,0.3145530992642307
322,0.31467950392357125
323,0.3187732994972521
324,0.312908310193734
325,0.31701080576772256
326,0.321098101341704
327,0.31721199990420246
328,0.31531940151467097
329,0.3194191970887914
330,0.31753239869976824
331,0.3156444003107026
332,0.3217410989329892
333,0.3218730035923727
334,0.31997790520313174
335,0.32210461291106185
336,0.3202186145217638
337,0.3243223100957948
338,0.32443391475499084
339,0.32054821331735184
340,0.32066251797687073
341,0.3187768195875833
342,0.3188849242469587
343,0.3190173289062841
344,0.31913653356559735
345,0.3192557382249106
346,0.31937304288430823
347,0.31949924754349013
348,0.31961945220291454
349,0.3277258538739716
350,0.32187106457013215
351,0.32199776922925594
352,0.3260862648035072
353,0.3282133725112999
354,0.3243166710733476
355,0.3284186666473943
356,0.3245229652097805
357,0.3286164607839055
358,0.32471775934595826
359,0.33083325796860663
360,0.32692175653096456
361,0.32705226119014696
362,0.33115195676418807
363,0.3312598614234048
364,0.3293813630345994
365,0.32950796769387125
366,0.32962347235297784
367,0.3297392770125498
368,0.32985908167188427
369,0.32998198633094944
370,0.3301033909904163
371,0.33223819869817817
372,0.33235510335771323
373,0.32844700191981246
374,0.33058460962774916
375,0.3346905052017064
376,0.33079280376432507
377,0.33488539933819084
378,0.3330050009487877
379,0.33709519652302333
380,0.3372135011820774
381,0.3333222997443954
382,0.33544590745236746
383,0.3315515060146481
384,0.33565140158839313
385,0.3397455971623913
386,0.33584939572483563
387,0.3399435912988338
388,0.3380689929097116
389,0.33415359147215895
390,0.33427739613125595
391,0.3383857917053774
392,0.33850559636493927
393,0.3366115979756614
394,0.3367362026349383
395,0.3368539072941985
396,0.33697311195351176
397,0.3390950196612721
