,12_OBCI_Dejittered
0,0.3520305010559923
1,0.35052732200290393
2,0.3530479696735256
3,0.3515502906201391
4,0.35603988471677894
5,0.35654571902534826
6,0.35302832661045613
7,0.3535441609190002
8,0.3520421818658406
9,0.35255241617448974
10,0.3530605504831783
11,0.3535514847920922
12,0.356065832462491
13,0.35658476677099316
14,0.36106596086767695
15,0.3555941220265595
16,0.3600777161231008
17,0.35657432370805964
18,0.36106111780463834
19,0.3575542253894355
20,0.3640408328479907
21,0.3605396404328758
22,0.35305508822978027
23,0.34954519581481236
24,0.3500530301234903
25,0.3485602510700119
26,0.3490560853789475
27,0.3495621196876755
28,0.35006915399640093
29,0.3505839883049475
30,0.35109012261364114
31,0.3536064702841486
32,0.3541061045928018
33,0.3506002121778238
34,0.3531045598484752
35,0.3496028674334184
36,0.35408876152996527
37,0.3585745556265465
38,0.3550680632113199
39,0.3535783841579132
40,0.3500731917428084
41,0.35058262605150503
42,0.34706453363662604
43,0.3475673679453166
44,0.35406937540369654
45,0.35456750971241036
46,0.3550830440210575
47,0.3555810783298057
48,0.34010643961505593
49,0.3346245007739981
50,0.3351362350827003
51,0.3396235291792209
52,0.342134876849741
53,0.3386242844347862
54,0.34311247853133864
55,0.33961238611607314
56,0.33810600706294736
57,0.3425937011594442
58,0.34310523546810145
59,0.3396068430528203
60,0.34211389072356724
61,0.34659008482026366
62,0.34309399240498806
63,0.34758578650144045
64,0.3440698940866014
65,0.34257451503322045
66,0.34705440912989616
67,0.3475776434383988
68,0.352053237535074
69,0.3465729986938868
70,0.35105969279049987
71,0.34755160037548194
72,0.35204979447189544
73,0.3485339020569427
74,0.35302879615335314
75,0.3515247171002329
76,0.35600921119680606
77,0.3565148455055578
78,0.35300645309041556
79,0.3555265007609023
80,0.3520283083456661
81,0.35650140244240447
82,0.3529977100271253
83,0.35949451748570027
84,0.3559886250704949
85,0.35448284601739033
86,0.3609815534757672
87,0.3594793744225626
88,0.35997650873139264
89,0.3584891296781052
90,0.3609927773487698
91,0.3595152982952641
92,0.36398959239204487
93,0.36449802670063036
94,0.36098813428554877
95,0.3614945685943667
96,0.36000368954091755
97,0.3604993238496945
98,0.3609987581585301
99,0.3615141924672116
100,0.3620314267757294
101,0.36453897444630456
102,0.36504100875504264
103,0.3695372028514612
104,0.37205445052222785
105,0.36854635810698255
106,0.3730228522036896
107,0.3715329731503516
108,0.36801438073541703
109,0.37451338819369084
