,11_Smarting
0,0.03541126751701995
1,0.03544276349236952
2,0.03546329824223449
3,0.03547784047566438
4,0.035490728967147334
5,0.0354982712005949
6,0.03552135220866148
7,0.035526794441921083
8,0.03554923667536514
9,0.03557302516719574
10,0.03558286740042149
11,0.03559274840847593
12,0.03561543690011604
13,0.0356218791334868
14,0.03564242136701523
15,0.03565830985849061
16,0.03567069835014536
17,0.035691286841824876
18,0.03571496784991268
19,0.03571665634137844
20,0.03573599857497811
21,0.03574663332460659
22,0.035763575558121374
23,0.03578141030789084
24,0.03580429879957592
25,0.03582663354939086
26,0.03582526829904964
27,0.035841903048890345
28,0.035872037798867495
29,0.03588297254873396
30,0.03590235355670757
31,0.035915388306534624
32,0.03591643053982807
33,0.03593941154792901
34,0.035957453781293225
35,0.03597289601475495
36,0.03598413824806812
37,0.03599592673981533
38,0.03602256897318057
39,0.036027003722892914
40,0.036051345956366276
41,0.03605808070619787
42,0.03608036919786173
43,0.03610450394774034
44,0.03610973869751888
45,0.03612987344740759
46,0.03614825445538372
47,0.03615858920511528
48,0.03618143143864927
49,0.036196512446622364
50,0.03620445468004618
51,0.0362342969135625
52,0.0362397391468221
53,0.036258181380276255
54,0.036281269872006305
55,0.03629221210542255
56,0.036302246855143494
57,0.0363167890884597
58,0.036328670096509086
59,0.036334212329848015
60,0.036362454563345636
61,0.036385096796948346
62,0.03639778528850002
63,0.03640852752187129
64,0.03641546227152048
65,0.03644550450519546
66,0.036462239255001805
67,0.036470527746473635
68,0.03648926249638862
69,0.0365124972462354
70,0.03651633199592652
71,0.03653321300396328
72,0.03655704775394497
73,0.03656338998712272
74,0.036587470995300464
75,0.036595313228644955
76,0.03661655546216025
77,0.036631097695476456
78,0.03664648618712363
79,0.036655328420465594
80,0.03668216317043971
81,0.036697405403856465
82,0.036711786411842695
83,0.03672002864516344
84,0.03673137087866962
85,0.03674571311194086
86,0.03676490160364665
87,0.03678914383715437
88,0.03679267858683488
89,0.03681462082045073
90,0.03681925556998067
91,0.036850244061838566
92,0.03686057881157012
93,0.03688031356148258
94,0.036895048311293976
95,0.0369086293193277
96,0.0369158640689875
97,0.03694140630250331
98,0.03695738731050824
99,0.03696932954392196
100,0.03698967177729173
101,0.03700211401064735
102,0.037019602502482485
103,0.03703674473570118
104,0.03705083322756764
105,0.03706062171897884
106,0.03708391021064017
107,0.03709939870236667
108,0.037108087193814754
109,0.03713127568562413
110,0.03714476417712831
111,0.037162952668836624
112,0.03717308741852321
113,0.03719737591018202
114,0.037210610660054044
115,0.037221445409727494
116,0.037241680159695534
117,0.037257714909515016
118,0.037274995917414344
119,0.03729583066740361
120,0.03730987290066423
121,0.0353147431430898
122,0.03532978537657527
123,0.03535182760992939
124,0.03536606984323498
125,0.03538281207681848
126,0.03539760056844443
127,0.03541494280193547
128,0.03542337755152403
129,0.03544531978513987
130,0.0354654545349149
131,0.035475443026484754
132,0.035495377776328496
133,0.035515212526206597
134,0.035522247275935115
135,0.03553658202577026
136,0.03555741677553215
137,0.03557319778360579
138,0.03556823253325092
139,0.03560187476682586
140,0.035621755774855046
141,0.03564039800835417
142,0.035643640241687535
143,0.03566258247508358
144,0.03567457096664839
145,0.035688913200147
146,0.03570704794992707
147,0.03573409018338225
148,0.03573677119140939
149,0.03576091342483778
150,0.03577275565828586
151,0.03579359789159753
152,0.03580014012504762
153,0.03581498235848812
154,0.035834824591916004
155,0.03584986682540148
156,0.035870255317036026
157,0.03588269755039164
158,0.03589763230013432
159,0.0359132745337547
160,0.035927655541627246
161,0.03593989777493789
162,0.03596994000849918
163,0.035973582241922486
164,0.03598457073348982
165,0.03600451296688334
166,0.03602544771672456
167,0.036039289950167586
168,0.03605247095822506
169,0.03607241319161858
170,0.03607775542491254
171,0.03609499765843793
172,0.03611768615007804
173,0.03613432838346853
174,0.036147563133340554
175,0.036163405366778534
176,0.036177640116648035
177,0.036193528608123415
178,0.03620606335800858
179,0.0362221981077937
180,0.03623763285759196
181,0.036260913865703515
182,0.036264448615384026
183,0.03628979084896855
184,0.03630197185691486
185,0.0363174140902629
186,0.03633585632371705
187,0.03635249855710754
188,0.036354240790501535
189,0.03637868302394054
190,0.0363963252573285
191,0.0364146674909307
192,0.03643705598244651
193,0.036441044474031514
194,0.036467932965706495
195,0.03647952145740874
196,0.03648645620705793
197,0.03650604469885366
198,0.03652642570682474
199,0.03653111419828292
200,0.03654775643178709
201,0.03656909118160456
202,0.03658793341503497
203,0.03660576816491812
204,0.03662265665639097
205,0.03663049140629937
206,0.03664542615604205
207,0.03666556090593076
208,0.03668179565579521
209,0.0366962766636334
210,0.036713811413619624
211,0.03672025364676301
212,0.036740934654744706
213,0.036754276888132154
214,0.03677681912154185
215,0.03679396135521529
216,0.03680494984678262
217,0.03681869208003263
218,0.03684152682990316
219,0.036849269063395695
220,0.036867450071440544
221,0.03686999230467336
222,0.03689953453817907
223,0.036906576771571054
224,0.036926019005250055
225,0.03694760749681336
226,0.03696304973027509
227,0.03697908448020826
228,0.03699752671354872
229,0.03701056146337578
230,0.037027449954848635
231,0.03704328470485052
232,0.03705961945456693
233,0.03708225420450617
234,0.03708698895388807
235,0.03710476996207035
236,0.0371237047120303
237,0.037131846945385405
238,0.03714832795321854
239,0.03716047018656354
240,0.03717911242029004
241,0.037196654653826045
242,0.037204796887181146
243,0.037233185378454436
244,0.0372469276121592
245,0.03724596236179423
246,0.037275604595379264
247,0.03728928560326494
248,0.0372962278365776
249,0.03730937007026114
250,0.03733801230373501
251,0.03735365453690065
252,0.0373664967703462
253,0.037383439003860985
254,0.03540361672980907
255,0.037418969729060336
256,0.03543509371320397
257,0.035442135946595954
258,0.03546147069641847
259,0.03547765918801815
260,0.0354997939380155
261,0.03551162868757274
262,0.03552576343713554
263,0.035536898187274346
264,0.03556067919544148
265,0.035578413945131615
266,0.03558935617843417
267,0.03560203718666344
268,0.03561287941988667
269,0.035644021653297386
270,0.035651663886710594
271,0.03566485237843153
272,0.03568589461178817
273,0.035700729361678896
274,0.03571387159490769
275,0.035737306344799435
276,0.035751394836324835
277,0.03576042958616199
278,0.035763964335728815
279,0.03580119908610868
280,0.03579993383527835
281,0.035813668585433334
282,0.0358382033352882
283,0.03585238434334315
284,0.035866419093281365
285,0.03588456132661122
286,0.035904142334629796
287,0.035906384567852
288,0.035932726801320314
289,0.0359496690348351
290,0.0359725575262928
291,0.03597559975969489
292,0.03599803450970285
293,0.0360108767431484
294,0.03602711149278548
295,0.036043099984453875
296,0.03606363473454621
297,0.03606836948415548
298,0.036094004233973465
299,0.03610133898382628
300,0.0361213199919348
301,0.03613605474151882
302,0.03615249697509171
303,0.03616577798311482
304,0.03618302021641284
305,0.03619446244988467
306,0.03622250468333732
307,0.0362273469165757
308,0.03624638915016476
309,0.03625773138378463
310,0.036273019875352475
311,0.0362870621086131
312,0.036311596858467965
313,0.03632603909181853
314,0.036346920099731506
315,0.03635646233351508
316,0.03637970456702533
317,0.03637764680024702
318,0.036394089033592536
319,0.03642003126719828
320,0.03643047350033157
321,0.03645501573373622
322,0.036463604225446034
323,0.03648274645888705
324,0.03650098120874645
325,0.03651002344213339
326,0.036532058191824035
327,0.03654914668345555
328,0.03656168143356808
329,0.036570716183177865
330,0.036591150933190875
331,0.03660913194107707
332,0.03661956669066058
333,0.03663740892397982
334,0.03664938993233591
335,0.03667353216542324
336,0.03668277439896883
337,0.036701116632684716
338,0.0367121588660666
339,0.03672984735749196
340,0.036743489591117395
341,0.0367670243408611
342,0.03678116657420105
343,0.03679420132402811
344,0.03680658981579654
345,0.036824424565566005
346,0.03684255931534608
347,0.03685549406509381
348,0.03687147507321242
349,0.036885709823081925
350,0.036901752056564874
351,0.03691573306423379
352,0.03693157529778546
353,0.03694231753115673
354,0.03697115976478926
355,0.036980601998038765
356,0.03700379048950708
357,0.03702053272309058
358,0.03703106747320817
359,0.03703340970628233
360,0.03706289071419633
361,0.03708063294789099
362,0.03708607518092322
363,0.037110317414772
364,0.037115259648089705
365,0.03714020188158429
366,0.037157744115120295
367,0.03716583260666084
368,0.03718457484001192
369,0.03720930958979807
370,0.03721385182325321
371,0.03723793283120358
372,0.03724237506457939
373,0.037269417298148255
374,0.03727755953150336
375,0.03729204802334607
376,0.037312090256591546
377,0.037326225006154345
378,0.03734076723981161
379,0.037358201989491135
380,0.037372990481117085
381,0.03738682523112402
382,0.03741495998110622
383,0.03741639473059877
384,0.037440675738707796
385,0.037451910488471185
386,0.03546964195629698
387,0.03547722296411848
388,0.03549746519774999
389,0.035522307431165245
390,0.03552954966448851
