,5_OBCI
0,0.5256665077203024
1,0.5270811638140458
2,0.5256198729588277
3,0.527888399049175
4,0.5290720264757738
5,0.5298273412347498
6,0.5286620729617653
7,0.5292936349551383
8,0.5283965395394716
9,0.5266840197438114
10,0.5275913458393688
11,0.5269019021238819
12,0.5267757382227956
13,0.5275086699423355
14,0.5258565804199407
15,0.5269512578546482
16,0.527514425471395
17,0.5275110515706274
18,0.5274370191900744
19,0.528735599658603
20,0.5295264201316741
21,0.5274448306108752
22,0.5251784397590882
23,0.5273102330818347
24,0.5297786176514592
25,0.5309825267856922
26,0.5274184585221064
27,0.527209190245344
28,0.5278016219652955
29,0.5272467909188663
30,0.5266966226432714
31,0.5282239902563788
32,0.526002521987607
33,0.525830889607505
34,0.5277744156989002
35,0.527389059030611
36,0.5263798423668504
37,0.5327675628176394
38,0.5240230234160208
39,0.5277449438773374
40,0.5278856755991228
41,0.5293557432123634
42,0.5258363164683715
43,0.5247869926614612
44,0.5247552545665712
45,0.5266203178900923
46,0.527161379883978
47,0.5263812332103726
48,0.5270188049355511
49,0.5287361669246593
50,0.5226971315180435
51,0.5305772132163611
52,0.5285101920900388
53,0.5262155653413174
54,0.5195615970902736
55,0.5293875289556809
56,0.5280776035352801
57,0.5255651126840348
58,0.525578244406347
59,0.5261665232692394
60,0.5259428478490236
61,0.5249167795756193
62,0.5283334641414967
63,0.5281723387166721
64,0.5250610119710473
65,0.5266355908300966
66,0.5255374584537549
67,0.5253382473189276
68,0.5251857149384023
69,0.5261656410337991
70,0.5287378043518629
71,0.5269787048366652
72,0.528750525306009
73,0.5298857872973031
74,0.5288761977723198
75,0.5282332294971184
76,0.52740842997855
77,0.525425046080727
78,0.5209676080031613
79,0.5245299284650855
80,0.5281022760716496
81,0.5275884522598062
82,0.5265003499744125
83,0.5260294175952822
84,0.5247647978919758
85,0.5267743598800507
86,0.5258507387488862
87,0.5278391704634942
88,0.5258797921885616
89,0.526175423909649
90,0.5274669500038272
91,0.5269783817282132
92,0.5331383493225985
93,0.5274197282109299
94,0.526028538687342
95,0.523745911938363
96,0.5289371795370243
97,0.5272214471627876
98,0.5295141576277729
99,0.5303028252437798
100,0.5289348928682784
101,0.5259944448708893
102,0.5251737124931424
103,0.5282400913462197
104,0.5288285533397357
105,0.5263280622153843
106,0.5257695939400264
107,0.5243120685200893
108,0.5299854474538961
109,0.5303611791748608
110,0.5257035296698405
111,0.5277922185258603
112,0.52730133328987
113,0.5274907022403568
114,0.5278575698579289
115,0.5280520374761863
116,0.5272055050986637
117,0.5247319142473543
118,0.5268557775669933
119,0.5260990092924658
120,0.5274266712832514
121,0.5265581030089379
122,0.5261312633011812
123,0.5261899450247256
124,0.5279612767401431
125,0.5264490556112378
126,0.5241024373417531
127,0.5268478934301584
128,0.5281415679995689
129,0.5267361356272886
130,0.5260067673524418
131,0.5263109249654008
132,0.5268324510623188
133,0.5259649186850766
134,0.5256182863054164
135,0.5260931539226021
136,0.5329321587432787
137,0.529242526377061
138,0.5290065409576528
139,0.5254991501105906
140,0.52520848183417
141,0.5232429078502037
142,0.5320447881036898
143,0.5297288198354408
144,0.530201251555809
145,0.524229516252035
146,0.5261022436758367
147,0.5258092112962913
148,0.5251066430213314
149,0.5292076634813156
150,0.5268295367328619
151,0.5259259043556312
152,0.5252563148292211
153,0.5263262824440744
154,0.5255033500664013
155,0.5258253120609879
156,0.526516662534732
157,0.5249565371152585
158,0.5251542047335533
159,0.526723130826781
160,0.526675247018261
161,0.5258314146403791
162,0.5276394779616567
163,0.5281040455787434
164,0.5283213075737194
165,0.5285862751915147
166,0.5277003669153828
167,0.5259668760611476
168,0.5251080077867982
169,0.5280275923546469
170,0.5300075197782235
171,0.5272522930314381
172,0.5269123247552443
173,0.5261484709467368
174,0.525795002670634
175,0.5285751646554218
176,0.5251578921064493
177,0.5289958195229474
178,0.5264701512554666
179,0.5276171244929628
180,0.5279484562140624
181,0.5269621238368245
182,0.5308946555436478
183,0.5263947660325812
184,0.5274652092703036
185,0.5282029768866323
186,0.5266176855552658
187,0.5261735960275473
188,0.5251827348974984
189,0.5280043968825794
190,0.5270862800332452
191,0.5268814117564489
192,0.5280802434740508
193,0.5261135752043629
194,0.5242460997908438
195,0.528045025874917
196,0.5265005576034127
197,0.5295123209195935
198,0.5272113526509656
199,0.5272547202700935
200,0.5295806463600456
201,0.5299569139779123
202,0.5274524816068151
203,0.5266109920812596
204,0.5248196012271364
205,0.5281568216898904
206,0.5273237534156578
207,0.5258626625604848
208,0.5275830899847733
209,0.5262213902865369
210,0.5257388220104531
211,0.524948253735829
212,0.5259681798313522
213,0.5254875544076185
214,0.5265171220223692
215,0.524724769468321
216,0.5284124271584005
217,0.5264186574625
218,0.5253592891892822
219,0.5262018680509755
220,0.5256629426276049
221,0.5251153743522536
222,0.5252356060746024
223,0.5269194321667783
224,0.5266999638899961
225,0.5257167315132847
226,0.5284124589338717
227,0.5276132736989894
228,0.5296104997903512
229,0.5294405674101199
230,0.5201210293523673
231,0.5269030912270409
232,0.5246875003742844
233,0.5255591437010025
234,0.5276709282718457
235,0.5258640645595278
236,0.5279293962737484
237,0.527305286479077
238,0.5255157597282505
239,0.5263865645729311
240,0.5247440378216197
241,0.5236757695483902
242,0.52333633716853
243,0.5295161217236455
244,0.5298748421982964
245,0.5261195583075278
246,0.5265696259248216
247,0.5257108521211649
248,0.5268734625876732
249,0.5248221402171112
250,0.5263197022070472
251,0.5259978126796341
252,0.5276562886795091
253,0.5277325935276167
254,0.5279386095414793
255,0.5289939412596141
256,0.526925915842412
257,0.5267822475655066
258,0.5253791078639551
259,0.5268537339577506
260,0.5279153585324821
261,0.5270170261551357
262,0.5266747578789364
263,0.5264926570127955
264,0.5243527887441815
265,0.5244055204666438
266,0.5288730150271022
267,0.528656646750278
268,0.5290931741799341
269,0.5262310645791786
270,0.5241731963099028
271,0.5239476639299028
272,0.5258745956446091
273,0.5274437161142487
274,0.5279445850640059
